2026-02-26T21:40:34.447Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 4/5, MIA Heat (ARCHITECT): 5/6 → 20/23, CHI Bulls (OCEAN): 4/5 → 5/6, MIA Heat (ARCHITECT): 20/23 → 5/6
2026-02-26T21:40:34.448Z [EVENT]  score: 7-2
2026-02-26T21:40:34.448Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 4/5, MIA Heat (ARCHITECT): 5/6 → 20/23, CHI Bulls (OCEAN): 4/5 → 5/6, MIA Heat (ARCHITECT): 20/23 → 5/6
2026-02-26T21:40:35.802Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 4/5, MIA Heat (ARCHITECT): 5/6 → 20/23
2026-02-26T21:40:41.665Z [ODDS]  CHI Bulls (OCEAN): 4/5 → 5/6, MIA Heat (ARCHITECT): 20/23 → 5/6
2026-02-26T21:40:57.904Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 20/23, MIA Heat (ARCHITECT): 5/6 → 4/5
2026-02-26T21:40:57.904Z [EVENT]  score: 9-2
2026-02-26T21:41:06.921Z [ODDS]  CHI Bulls (OCEAN): 20/23 → 5/6, MIA Heat (ARCHITECT): 4/5 → 5/6
2026-02-26T21:41:06.921Z [EVENT]  score: 9-4
2026-02-26T21:41:28.118Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 4/5, MIA Heat (ARCHITECT): 5/6 → 20/23
2026-02-26T21:41:34.887Z [ODDS]  CHI Bulls (OCEAN): 4/5 → 5/6, MIA Heat (ARCHITECT): 20/23 → 5/6
2026-02-26T21:41:36.237Z [EVENT]  score: 9-5
2026-02-26T21:41:59.236Z [EVENT]  score: 9-7
2026-02-26T21:42:09.157Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 4/5, MIA Heat (ARCHITECT): 5/6 → 20/23
2026-02-26T21:42:09.157Z [EVENT]  score: 11-7
2026-02-26T21:42:30.379Z [EVENT]  score: 11-8
2026-02-26T21:42:35.710Z [ODDS]  CHI Bulls (OCEAN): 4/5 → 5/6, MIA Heat (ARCHITECT): 20/23 → 5/6
2026-02-26T21:42:35.770Z [EVENT]  score: 11-9
2026-02-26T21:42:45.245Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 4/5, MIA Heat (ARCHITECT): 5/6 → 20/23
2026-02-26T21:42:45.245Z [EVENT]  score: 13-9
2026-02-26T21:42:56.994Z [ODDS]  CHI Bulls (OCEAN): 4/5 → 5/6, MIA Heat (ARCHITECT): 20/23 → 5/6
2026-02-26T21:43:04.634Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 4/5, MIA Heat (ARCHITECT): 5/6 → 20/23
2026-02-26T21:43:14.558Z [ODDS]  CHI Bulls (OCEAN): 4/5 → 5/6, MIA Heat (ARCHITECT): 20/23 → 5/6
2026-02-26T21:43:23.127Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 20/23, MIA Heat (ARCHITECT): 5/6 → 4/5
2026-02-26T21:43:23.127Z [EVENT]  score: 14-9
2026-02-26T21:43:30.823Z [ODDS]  CHI Bulls (OCEAN): 20/23 → 4/5, MIA Heat (ARCHITECT): 4/5 → 20/23
2026-02-26T21:43:53.343Z [ODDS]  CHI Bulls (OCEAN): 4/5 → 5/6, MIA Heat (ARCHITECT): 20/23 → 5/6
2026-02-26T21:44:00.110Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 20/23, MIA Heat (ARCHITECT): 5/6 → 4/5
2026-02-26T21:44:00.110Z [EVENT]  score: 16-9
2026-02-26T21:44:10.031Z [ODDS]  CHI Bulls (OCEAN): 20/23 → 4/5, MIA Heat (ARCHITECT): 4/5 → 20/23
2026-02-26T21:44:17.245Z [ODDS]  CHI Bulls (OCEAN): 4/5 → 20/23, MIA Heat (ARCHITECT): 20/23 → 4/5
2026-02-26T21:44:17.245Z [EVENT]  score: 19-9
2026-02-26T21:44:24.988Z [ODDS]  CHI Bulls (OCEAN): 20/23 → 4/5, MIA Heat (ARCHITECT): 4/5 → 20/23
2026-02-26T21:44:47.460Z [ODDS]  CHI Bulls (OCEAN): 4/5 → 5/6, MIA Heat (ARCHITECT): 20/23 → 5/6
2026-02-26T21:44:50.171Z [EVENT]  score: 21-9
2026-02-26T21:45:14.972Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 20/23, MIA Heat (ARCHITECT): 5/6 → 4/5
2026-02-26T21:45:26.247Z [ODDS]  CHI Bulls (OCEAN): 20/23 → 5/6, MIA Heat (ARCHITECT): 4/5 → 5/6
2026-02-26T21:46:00.975Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 20/23, MIA Heat (ARCHITECT): 5/6 → 4/5
2026-02-26T21:46:20.820Z [ODDS]  CHI Bulls (OCEAN): 20/23 → 5/6, MIA Heat (ARCHITECT): 4/5 → 5/6
2026-02-26T21:46:28.486Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 20/23, MIA Heat (ARCHITECT): 5/6 → 4/5
2026-02-26T21:46:28.486Z [EVENT]  score: 21-12
2026-02-26T21:46:39.763Z [ODDS]  CHI Bulls (OCEAN): 20/23 → 4/5, MIA Heat (ARCHITECT): 4/5 → 20/23
2026-02-26T21:46:43.820Z [ODDS]  CHI Bulls (OCEAN): 4/5 → 5/6, MIA Heat (ARCHITECT): 20/23 → 5/6
2026-02-26T21:46:43.820Z [EVENT]  score: 23-12
2026-02-26T21:46:51.947Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 4/5, MIA Heat (ARCHITECT): 5/6 → 20/23
2026-02-26T21:46:51.948Z [EVENT]  score: 23-14
2026-02-26T21:47:06.869Z [ODDS]  CHI Bulls (OCEAN): 4/5 → 5/6, MIA Heat (ARCHITECT): 20/23 → 5/6
2026-02-26T21:47:06.869Z [EVENT]  score: 25-14
2026-02-26T21:47:14.980Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 4/5, MIA Heat (ARCHITECT): 5/6 → 20/23
2026-02-26T21:47:37.494Z [EVENT]  score: 26-14
2026-02-26T21:47:44.257Z [ODDS]  CHI Bulls (OCEAN): 4/5 → 5/6, MIA Heat (ARCHITECT): 20/23 → 5/6
2026-02-26T21:47:44.257Z [EVENT]  score: 27-14
2026-02-26T21:47:48.819Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 20/23, MIA Heat (ARCHITECT): 5/6 → 4/5
2026-02-26T21:47:52.828Z [ODDS]  CHI Bulls (OCEAN): 20/23 → 5/6, MIA Heat (ARCHITECT): 4/5 → 5/6
2026-02-26T21:48:03.649Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 20/23, MIA Heat (ARCHITECT): 5/6 → 4/5
2026-02-26T21:48:10.910Z [ODDS]  CHI Bulls (OCEAN): 20/23 → 5/6, MIA Heat (ARCHITECT): 4/5 → 5/6
2026-02-26T21:48:10.956Z [EVENT]  score: 27-16
2026-02-26T21:48:24.396Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 20/23, MIA Heat (ARCHITECT): 5/6 → 4/5
2026-02-26T21:48:39.737Z [ODDS]  CHI Bulls (OCEAN): 20/23 → 5/6, MIA Heat (ARCHITECT): 4/5 → 5/6
2026-02-26T21:49:01.388Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 20/23, MIA Heat (ARCHITECT): 5/6 → 4/5
2026-02-26T21:49:01.388Z [EVENT]  score: 29-16
2026-02-26T21:49:05.893Z [ODDS]  CHI Bulls (OCEAN): 20/23 → 4/5, MIA Heat (ARCHITECT): 4/5 → 20/23
2026-02-26T21:49:13.561Z [ODDS]  CHI Bulls (OCEAN): 4/5 → 5/6, MIA Heat (ARCHITECT): 20/23 → 5/6
2026-02-26T21:49:26.188Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 20/23, MIA Heat (ARCHITECT): 5/6 → 4/5
2026-02-26T21:49:47.396Z [ODDS]  CHI Bulls (OCEAN): 20/23 → 4/5, MIA Heat (ARCHITECT): 4/5 → 20/23
2026-02-26T21:49:57.311Z [ODDS]  CHI Bulls (OCEAN): 4/5 → 20/23, MIA Heat (ARCHITECT): 20/23 → 4/5
2026-02-26T21:50:15.798Z [ODDS]  CHI Bulls (OCEAN): 20/23 → 5/6, MIA Heat (ARCHITECT): 4/5 → 5/6
2026-02-26T21:50:37.899Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 20/23, MIA Heat (ARCHITECT): 5/6 → 4/5
2026-02-26T21:50:37.899Z [EVENT]  score: 29-18
2026-02-26T21:50:46.015Z [ODDS]  CHI Bulls (OCEAN): 20/23 → 5/6, MIA Heat (ARCHITECT): 4/5 → 5/6
2026-02-26T21:50:54.138Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 20/23, MIA Heat (ARCHITECT): 5/6 → 4/5
2026-02-26T21:50:54.139Z [EVENT]  score: 29-20
2026-02-26T21:51:14.429Z [ODDS]  CHI Bulls (OCEAN): 20/23 → 5/6, MIA Heat (ARCHITECT): 4/5 → 5/6
2026-02-26T21:51:14.429Z [EVENT]  score: 31-20
2026-02-26T21:51:22.999Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 20/23, MIA Heat (ARCHITECT): 5/6 → 4/5
2026-02-26T21:51:22.999Z [EVENT]  score: 31-22
2026-02-26T21:51:33.822Z [ODDS]  CHI Bulls (OCEAN): 20/23 → 5/6, MIA Heat (ARCHITECT): 4/5 → 5/6
2026-02-26T21:51:33.822Z [EVENT]  score: 33-22
2026-02-26T21:51:45.606Z [ODDS]  CHI Bulls (OCEAN): 5/6 → 20/23, MIA Heat (ARCHITECT): 5/6 → 4/5
2026-02-26T21:51:45.607Z [EVENT]  score: 33-24
