2026-02-27T01:48:56.720Z [ODDS]  Rocamora (W): 4/5 → 20/23, Union Florida (W): 20/23 → 4/5
2026-02-27T01:48:56.720Z [EVENT]  score: 51-44
2026-02-27T01:49:18.369Z [ODDS]  Rocamora (W): 20/23 → 5/6, Union Florida (W): 4/5 → 5/6
2026-02-27T01:50:27.823Z [EVENT]  score: 51-46
2026-02-27T01:51:07.060Z [ODDS]  Rocamora (W): 5/6 → 4/5, Union Florida (W): 5/6 → 20/23
2026-02-27T01:51:26.905Z [EVENT]  score: 51-48
2026-02-27T01:52:24.634Z [ODDS]  Rocamora (W): 4/5 → 20/23, Union Florida (W): 20/23 → 4/5
2026-02-27T01:52:26.890Z [ODDS]  Rocamora (W): 20/23 → 4/5, Union Florida (W): 4/5 → 20/23
2026-02-27T01:52:38.773Z [ODDS]  Rocamora (W): 4/5 → 20/23, Union Florida (W): 20/23 → 4/5
2026-02-27T01:52:41.028Z [ODDS]  Rocamora (W): 20/23 → 4/5, Union Florida (W): 4/5 → 20/23
2026-02-27T01:52:41.028Z [EVENT]  score: 51-50
2026-02-27T01:53:11.698Z [ODDS]  Rocamora (W): 4/5 → 20/23, Union Florida (W): 20/23 → 4/5
2026-02-27T01:53:11.698Z [EVENT]  score: 54-50
2026-02-27T01:53:16.208Z [ODDS]  Rocamora (W): 20/23 → 5/6, Union Florida (W): 4/5 → 5/6
2026-02-27T01:53:50.934Z [ODDS]  Rocamora (W): 5/6 → 20/23, Union Florida (W): 5/6 → 4/5
2026-02-27T01:58:28.302Z [ODDS]  Rocamora (W): 20/23 → 4/5, Union Florida (W): 4/5 → 20/23
2026-02-27T01:58:28.302Z [EVENT]  score: 51-50
2026-02-27T01:58:50.853Z [ODDS]  Rocamora (W): 4/5 → 20/23, Union Florida (W): 20/23 → 4/5
2026-02-27T01:59:51.741Z [ODDS]  Rocamora (W): 20/23 → 5/6, Union Florida (W): 4/5 → 5/6
2026-02-27T01:59:58.959Z [EVENT]  score: 53-50
2026-02-27T02:00:33.686Z [ODDS]  Rocamora (W): 5/6 → 4/5, Union Florida (W): 5/6 → 20/23
2026-02-27T02:00:39.551Z [EVENT]  score: 55-50
2026-02-27T02:00:56.689Z [ODDS]  Rocamora (W): 4/5 → 20/23, Union Florida (W): 20/23 → 4/5
2026-02-27T02:00:57.139Z [ODDS]  Rocamora (W): 20/23 → 20/27, Union Florida (W): 4/5 → 20/21
