2026-02-26T22:12:43.138Z [ODDS]  CSCD Kassantina: 4/5 → 5/6, CRB Dar Beida: 20/23 → 5/6
2026-02-26T22:12:43.138Z [EVENT]  score: 46-43
2026-02-26T22:12:56.210Z [ODDS]  CSCD Kassantina: 5/6 → 20/23, CRB Dar Beida: 5/6 → 4/5
2026-02-26T22:12:56.210Z [EVENT]  score: 47-43
2026-02-26T22:13:26.427Z [ODDS]  CSCD Kassantina: 20/23 → 5/7, CRB Dar Beida: 4/5 → 1/1
2026-02-26T22:13:39.954Z [ODDS]  CSCD Kassantina: 5/7 → 20/27, CRB Dar Beida: 1/1 → 20/21
2026-02-26T22:14:06.564Z [ODDS]  CSCD Kassantina: 20/27 → 4/5, CRB Dar Beida: 20/21 → 20/23
2026-02-26T22:14:06.564Z [EVENT]  score: 48-43
2026-02-26T22:14:21.454Z [ODDS]  CSCD Kassantina: 4/5 → 5/7, CRB Dar Beida: 20/23 → 1/1
2026-02-26T22:14:43.546Z [ODDS]  CSCD Kassantina: 5/7 → 20/27, CRB Dar Beida: 1/1 → 20/21
2026-02-26T22:14:53.923Z [ODDS]  CSCD Kassantina: 20/27 → 5/6, CRB Dar Beida: 20/21 → 5/6
2026-02-26T22:14:54.821Z [ODDS]  CSCD Kassantina: 5/6 → 20/23, CRB Dar Beida: 5/6 → 4/5
2026-02-26T22:15:22.332Z [ODDS]  CSCD Kassantina: 20/23 → 4/5, CRB Dar Beida: 4/5 → 20/23
2026-02-26T22:15:22.332Z [EVENT]  score: 49-43
2026-02-26T22:15:38.117Z [ODDS]  CSCD Kassantina: 4/5 → 5/6, CRB Dar Beida: 20/23 → 5/6
2026-02-26T22:15:56.610Z [ODDS]  CSCD Kassantina: 5/6 → 20/27, CRB Dar Beida: 5/6 → 20/21
2026-02-26T22:15:56.610Z [EVENT]  score: 49-45
2026-02-26T22:16:25.051Z [ODDS]  CSCD Kassantina: 20/27 → 20/23, CRB Dar Beida: 20/21 → 4/5
2026-02-26T22:16:34.944Z [ODDS]  CSCD Kassantina: 20/23 → 20/27, CRB Dar Beida: 4/5 → 20/21
2026-02-26T22:18:31.776Z [ODDS]  CSCD Kassantina: 20/27 → 20/23, CRB Dar Beida: 20/21 → 4/5
2026-02-26T22:18:31.776Z [EVENT]  score: 51-45
2026-02-26T22:19:29.034Z [ODDS]  CSCD Kassantina: 20/23 → 5/6, CRB Dar Beida: 4/5 → 5/6
2026-02-26T22:19:29.035Z [EVENT]  score: 54-45
2026-02-26T22:19:47.073Z [ODDS]  CSCD Kassantina: 5/6 → 20/23, CRB Dar Beida: 5/6 → 4/5
2026-02-26T22:19:58.354Z [ODDS]  CSCD Kassantina: 20/23 → 5/6, CRB Dar Beida: 4/5 → 5/6
2026-02-26T22:20:14.598Z [ODDS]  CSCD Kassantina: 5/6 → 4/5, CRB Dar Beida: 5/6 → 20/23
2026-02-26T22:20:24.057Z [ODDS]  CSCD Kassantina: 4/5 → 5/6, CRB Dar Beida: 20/23 → 5/6
2026-02-26T22:20:39.105Z [ODDS]  CSCD Kassantina: 5/6 → 20/23, CRB Dar Beida: 5/6 → 4/5
2026-02-26T22:20:49.322Z [ODDS]  CSCD Kassantina: 20/23 → 4/5, CRB Dar Beida: 4/5 → 20/23
2026-02-26T22:21:09.620Z [ODDS]  CSCD Kassantina: 4/5 → 5/6, CRB Dar Beida: 20/23 → 5/6
2026-02-26T22:21:09.625Z [EVENT]  score: 55-45
2026-02-26T22:21:22.248Z [EVENT]  score: 56-45
2026-02-26T22:21:42.998Z [ODDS]  CSCD Kassantina: 5/6 → 20/23, CRB Dar Beida: 5/6 → 4/5
2026-02-26T22:21:50.680Z [EVENT]  score: 58-45
2026-02-26T22:24:01.457Z [ODDS]  CSCD Kassantina: 20/23 → 5/6, CRB Dar Beida: 4/5 → 5/6
2026-02-26T22:24:40.754Z [ODDS]  CSCD Kassantina: 5/6 → 4/5, CRB Dar Beida: 5/6 → 20/23
2026-02-26T22:24:49.715Z [ODDS]  CSCD Kassantina: 4/5 → 20/23, CRB Dar Beida: 20/23 → 4/5
2026-02-26T22:24:49.718Z [EVENT]  score: 58-46
2026-02-26T22:25:27.620Z [ODDS]  CSCD Kassantina: 20/23 → 20/21, CRB Dar Beida: 4/5 → 20/27
2026-02-26T22:25:27.621Z [EVENT]  score: 58-49
2026-02-26T22:25:54.656Z [ODDS]  CSCD Kassantina: 20/21 → 5/6, CRB Dar Beida: 20/27 → 5/6
2026-02-26T22:26:05.481Z [ODDS]  CSCD Kassantina: 5/6 → 20/23, CRB Dar Beida: 5/6 → 4/5
2026-02-26T22:26:05.481Z [EVENT]  score: 59-49
2026-02-26T22:26:41.586Z [ODDS]  CSCD Kassantina: 20/23 → 20/27, CRB Dar Beida: 4/5 → 20/21
2026-02-26T22:26:42.018Z [ODDS]  CSCD Kassantina: 20/27 → 20/23, CRB Dar Beida: 20/21 → 4/5
2026-02-26T22:26:42.018Z [EVENT]  score: 61-49
2026-02-26T22:26:51.037Z [ODDS]  CSCD Kassantina: 20/23 → 20/27, CRB Dar Beida: 4/5 → 20/21
2026-02-26T22:26:59.598Z [ODDS]  CSCD Kassantina: 20/27 → 4/5, CRB Dar Beida: 20/21 → 20/23
2026-02-26T22:27:00.053Z [EVENT]  score: 61-51
2026-02-26T22:27:17.638Z [EVENT]  score: 61-53
2026-02-26T22:27:31.623Z [ODDS]  CSCD Kassantina: 4/5 → 5/6, CRB Dar Beida: 20/23 → 5/6
2026-02-26T22:28:26.196Z [ODDS]  CSCD Kassantina: 5/6 → 20/21, CRB Dar Beida: 5/6 → 20/27
2026-02-26T22:28:49.197Z [ODDS]  CSCD Kassantina: 20/21 → 20/27, CRB Dar Beida: 20/27 → 20/21
2026-02-26T22:28:58.669Z [ODDS]  CSCD Kassantina: 20/27 → 4/5, CRB Dar Beida: 20/21 → 20/23
2026-02-26T22:28:58.669Z [EVENT]  score: 61-54
2026-02-26T22:29:23.938Z [EVENT]  score: 61-55
2026-02-26T22:30:07.219Z [ODDS]  CSCD Kassantina: 4/5 → 5/6, CRB Dar Beida: 20/23 → 5/6
2026-02-26T22:31:17.126Z [ODDS]  CSCD Kassantina: 5/6 → 4/5, CRB Dar Beida: 5/6 → 20/23
2026-02-26T22:31:50.501Z [ODDS]  CSCD Kassantina: 4/5 → 5/6, CRB Dar Beida: 20/23 → 5/6
2026-02-26T22:32:13.051Z [ODDS]  CSCD Kassantina: 5/6 → 20/23, CRB Dar Beida: 5/6 → 4/5
2026-02-26T22:32:26.581Z [ODDS]  CSCD Kassantina: 20/23 → 4/5, CRB Dar Beida: 4/5 → 20/23
2026-02-26T22:32:53.195Z [ODDS]  CSCD Kassantina: 4/5 → 5/6, CRB Dar Beida: 20/23 → 5/6
2026-02-26T22:33:28.371Z [ODDS]  CSCD Kassantina: 5/6 → 20/23, CRB Dar Beida: 5/6 → 4/5
2026-02-26T22:33:43.253Z [ODDS]  CSCD Kassantina: 20/23 → 4/5, CRB Dar Beida: 4/5 → 20/23
2026-02-26T22:33:43.726Z [ODDS]  CSCD Kassantina: 4/5 → 20/23, CRB Dar Beida: 20/23 → 4/5
2026-02-26T22:33:58.763Z [ODDS]  CSCD Kassantina: 20/23 → 4/5, CRB Dar Beida: 4/5 → 20/23
2026-02-26T22:34:11.392Z [ODDS]  CSCD Kassantina: 4/5 → 20/23, CRB Dar Beida: 20/23 → 4/5
2026-02-26T22:34:38.000Z [ODDS]  CSCD Kassantina: 20/23 → 4/5, CRB Dar Beida: 4/5 → 20/23
2026-02-26T22:34:42.967Z [ODDS]  CSCD Kassantina: 4/5 → 5/6, CRB Dar Beida: 20/23 → 5/6
2026-02-26T22:35:46.553Z [ODDS]  CSCD Kassantina: 5/6 → 4/5, CRB Dar Beida: 5/6 → 20/23
